species;code
Achnanthes_delicatula;
Achnanthes_lanceolata;ALTG
Achnanthes_linkei;
Achnanthes_pseudogroenlandica;
Achnanthes_saxonica;
Amphora_equalis;
Amphora_exigua;
Amphora_fluminensis;
Amphora_ocellata;
Amphora_turgida;
Amphora_veneta;AVEN
Aneumastus_tusculus;
Bacillaria_paxillifera;BPAX
Berkeleya_rutilans;BRUT
Brachysira_vitrea;BVIT
Caloneis_amphisbaena;CAMP
Caloneis_bacillum;CBAC
Caloneis_silicula;CSIL
Cavinula_jaernefeltii;CJAR
Cocconeis_neothumensis;CNTH
Cocconeis_pediculus;CPED
Cocconeis_placentula;CPLA
Craticula_cuspidata;CRCU
Ctenophora_pulchella;CTPU
Cyclotella_radiosa;
Cyclotella_striata;
Cymatopleura_solea;CSOL
Cymbella_affinis;CAFF
Cymbella_cistula;CCIS
Cymbella_cornuta;
Cymbella_cuspidata;
Cymbella_cymbiformis;CCYM
Cymbella_helvetica;CHEL
Cymbella_hustedtii;CHUS
Cymbella_hybrida;
Cymbella_laevis;CLAE
Cymbella_naviculiformis;
Cymbella_proxima;CPRX
Cymbella_sp;
Denticula_tenuis;DTEN
Diatoma_elongata;
Diatoma_mesodon;DMES
Diatoma_moniliformis;DMON
Diatoma_tenuis;DTEL
Dimeregramma_minor;
Diploneis_ovalis;DOVA
Encyonema_gaeumannii;
Encyonema_lange-bertalotii;ELBV
Encyonema_minutum;ENMI
Encyonema_neogracile;ENNG
Encyonema_persilesiacum;
Encyonema_silesiacum;ESLE
Encyonema_sp;
Encyonema;
Epithemia_sorex;ESOR
Eunotia_bilunaris;EBLU
Eunotia_denticulata;
Eunotia_exigua;EEXI
Eunotia_incisa;EINC
Eunotia_pectinalis;EPEC
Eunotia_sp;
Eunotia_tenella;
Fallacia_forcipata;
Fallacia_oculiformis;
Fragilaria_vaucheriae;FVAU
Fragilariforma_bicapitata;
Frustulia_rhomboides;FRHO
Frustulia_vulgaris;FVUL
Gomphonema_acuminatum;GACU
Gomphonema_augur;GAUG
Gomphonema_clavatum;GCLA
Gomphonema_gracile;GGRA
Gomphonema_minutum;GMIN
Gomphonema_olivaceum;GOLI
Gomphonema_parvulum;GPAR
Gomphonema_truncatum;GTRU
Gomphonema_ventricosum;GVEN
Gyrosigma_acuminatum;GYAC
Hannaea_arcus;HARC
Hantzschia_virgata;
Luticola_nivalis;LNIV
Luticola_ventricosa;LVEN
Meridion_circulare;MCIR
Navicula_capitata;
Navicula_constans;
Navicula_cryptotenella;NCTE
Navicula_detenta;
Navicula_digitoradiata;NDIG
Navicula_inclementis;
Navicula_lanceolata;NLAN
Navicula_menisculus;NMEN
Navicula_protracta;
Navicula_radiosa;NRAD
Navicula_rhynchocephala;NRHY
Navicula_tripunctata;NTPT
Navicula_viridula;NVIR
Navicula;
Neidium_ampliatum;
Neofragilaria_virescens;
Nitzschia_brevissima;NBRE
Nitzschia_dissipata;NDIS
Nitzschia_hantzschiana;NHAN
Nitzschia_linearis;NLIN
Nitzschia_recta;NREC
Nitzschia_sinuata;
Peronia_fibula;PFIB
Petroneis_humerosa;
Pinnularia_mesolepta;PMES
Pinnularia_microstauron;PMIC
Pinnularia_obscura;POBS
Pinnularia_subcapitata;PSCA
Placoneis_clementis;PCLT
Placoneis_elginensis;PELG
Pleurosigma_angulatum;
Pleurosigma_lanceolatum;
Pseudostaurosira_brevistriata;PSBR
Reimeria_sinuata;RSIN
Rhaphoneis_amphiceros;
Rhoicosphenia_abbreviata;RABB
Rhopalodia_gibba;RGIB
Sellaphora_bacillum;SEBA
Sellaphora_pupula;SPUP
Stauroforma_inermis;
Stauroneis_anceps;
Stauroneis_gracilior;SGRL
Stauroneis_legumen;
Stauroneis_phoenicenteron;
Stauroneis_siberica;
Stauroneis_smithii;SSMI
Staurosira_construens;SCON
Staurosirella_leptostauron;SLEP
Staurosirella_pinnata;SPIN
Stenopterobia_densestriata;
Stephanodiscus_hantzschii;SHAN
Surirella_brebissonii;SBRE
Synedra_parasitica;
Synedra_ulna;
Tabellaria_flocculosa;TFLO
Tabellaria_quadriseptata;
Tabularia_fasciculata;TFAS
Tabularia_investiens;
Tabularia_laevis;
Thalassionema_nitzschioides;
Tryblionella_apiculata;TAPI
Tryblionella;
